,Date,User,Tweet
18,2020-12-30 09:24:36+00:00,elonmusk,@Tesmanian_com This is very sensible. Opposition from anywhere cannot mean no progress everywhere!
19,2020-12-30 09:16:50+00:00,elonmusk,@harsimranbansal Literally
20,2020-12-30 07:57:09+00:00,elonmusk,@tobyliiiiiiiiii Are we sure this is real?
21,2020-12-30 05:33:19+00:00,elonmusk,"Destiny, destiny
No escaping 
that for me"
22,2020-12-29 22:16:14+00:00,elonmusk,All Tesla cars delivered in the final three days of the year will get three months of the Full Self-Driving option for free. Delivery &amp; docs must be fully complete by midnight Dec 31st.
23,2020-12-29 22:00:25+00:00,elonmusk,"@SpaceNews_Inc And Mark Dankberg. This action is wack, not dank!!"
24,2020-12-29 21:45:08+00:00,elonmusk,@Reza_Zadeh Less?
25,2020-12-29 21:34:43+00:00,elonmusk,@ashleevance Westworld
26,2020-12-29 21:32:09+00:00,elonmusk,The Last Kingdom show is great
27,2020-12-29 20:56:54+00:00,elonmusk,"@jayson32292601 Absolutely. Will be text &amp; visualization, but could add voice too."
28,2020-12-29 20:52:23+00:00,elonmusk,@sfs_central !! Even cheese is made of cake !!
29,2020-12-29 20:48:22+00:00,elonmusk,"@karpathy If they don’t love us, we’re in deep trouble!"
30,2020-12-29 20:48:04+00:00,elonmusk,Not everything is made of cake https://t.co/oMaCmYQAwx
31,2020-12-29 20:41:18+00:00,elonmusk,@chicago_glenn True haha
32,2020-12-29 20:40:49+00:00,elonmusk,Such a weird game when you think about it https://t.co/5MrvVzmeKG
33,2020-12-29 20:37:54+00:00,elonmusk,This is not CGI https://t.co/VOivE97vPR
34,2020-12-29 20:12:13+00:00,elonmusk,@BenSullins We need a UI overhaul
35,2020-12-29 19:57:50+00:00,elonmusk,"@Maldivawow @CodingMark @Tesla No, these are just incremental improvements to the production codebase. FSD build is a fundamental rewrite, not just in the car, but also our video training/labeling software."
36,2020-12-29 11:25:03+00:00,elonmusk,"@SpaceNews_Inc Starlink “poses a hazard” to Viasat’s profits, more like it. Stop the sneaky moves, Charlie Ergen!"
37,2020-12-28 19:46:18+00:00,elonmusk,Entertainment will be critical when cars drive themselves
38,2020-12-28 18:07:33+00:00,elonmusk,@kimpaquette Just meeting with Larry Ellison to seek some advice. Back working on Tesla end of quarter tomorrow.
39,2020-12-28 17:23:51+00:00,elonmusk,@richierichhhhh_ Absolutely
40,2020-12-28 17:23:31+00:00,elonmusk,What should Tesla do with in-car gaming in an autonomous world?
41,2020-12-28 05:39:42+00:00,elonmusk,@PPathole @WSJ Absolutely
42,2020-12-28 05:38:03+00:00,elonmusk,@Tesmanian_com Taste of the future
43,2020-12-27 22:18:58+00:00,elonmusk,Try playing Polytopia in your Tesla! Great game. Multiplayer online version coming soon.
44,2020-12-27 18:35:40+00:00,elonmusk,"@WSJ Focus on making products &amp; services people truly love, so that the total economic pie is bigger, instead of engaging in zero-sum/negative-sum corporate power struggles. This is the good future."
45,2020-12-27 08:33:28+00:00,elonmusk,"@ThatDesignGuy @m_siphiw @moosuraj @Tesla Roughly 95% of parts in Tesla Roadster were unique — not in any other product. Unfortunately, since we started out with the (dumb, in retrospect) goal of simply adapting Lotus Elise to electric, we ended up with a 10% too small sports car that seems kinda like a Lotus."
46,2020-12-27 08:05:59+00:00,elonmusk,@LaurenRow5 @karpathy Yes
47,2020-12-27 08:05:17+00:00,elonmusk,@engineers_feed Very important
48,2020-12-27 07:35:29+00:00,elonmusk,"@teslaownersSV @lexfridman Ok, service might be able to do this. Will check."
49,2020-12-27 07:21:32+00:00,elonmusk,@teslaownersSV @lexfridman You mean install the external speaker on earlier cars that don’t have it?
50,2020-12-27 07:20:41+00:00,elonmusk,"@GUNMTLM3 @lexfridman No, but definitely this year"
51,2020-12-27 07:19:32+00:00,elonmusk,@lexfridman Good point
52,2020-12-27 06:00:34+00:00,elonmusk,@conexionspacial @spacecoast_stve @NASASpaceflight Interesting
53,2020-12-27 02:45:21+00:00,elonmusk,@flcnhvy Liz has always done great interviews
54,2020-12-27 01:27:07+00:00,elonmusk,"@spacecoast_stve @NASASpaceflight Falcon was 25% of successful orbital launches in 2020, but maybe a majority of payload to orbit. Anyone done the math?"
55,2020-12-27 01:14:17+00:00,elonmusk,@karpathy Vaccines are just the start. It’s also capable in theory of curing almost anything. Turns medicine into a software &amp; simulation problem.
56,2020-12-26 19:07:24+00:00,elonmusk,@jgrano305 @TeslaTruckClub @jeremyjudkins @JPUConn @jchybow @DirtyTesla Yes
57,2020-12-26 19:06:11+00:00,elonmusk,@TeslaTruckClub @jeremyjudkins @JPUConn @jchybow @DirtyTesla We will offer multiple display options
58,2020-12-26 19:04:29+00:00,elonmusk,@IvanEscobosa @Erdayastronaut @teslaownersSV A few more revisions needed. Probably Beta 10 or 11.
59,2020-12-26 18:48:35+00:00,elonmusk,@Erdayastronaut @teslaownersSV Sure
60,2020-12-26 17:48:14+00:00,elonmusk,@Erdayastronaut @teslaownersSV Haha ok
61,2020-12-26 16:27:59+00:00,elonmusk,"@kkvr2823 @tesla_adri @teslaownersSV There are subtle, important, differences between US &amp; Canada traffic rules, but FSD beta will be extended to Canada very soon"
62,2020-12-26 16:25:06+00:00,elonmusk,@tesla_adri @teslaownersSV Yes
63,2020-12-26 16:23:26+00:00,elonmusk,@teslaownersSV We need a “match other traffic speed” setting
64,2020-12-25 22:49:24+00:00,elonmusk,@stevewoz Definitely
65,2020-12-25 21:09:35+00:00,elonmusk,@flcnhvy @h3_extrachars It’s a step in that direction
66,2020-12-25 21:08:14+00:00,elonmusk,"@13arm13arm It’s one 🔥 or 1/2 🔥 if you don’t have a car with pedestrian speaker. We couldn’t get everything done in time, but more stuff coming."
67,2020-12-25 21:06:14+00:00,elonmusk,@westcoastbill The writing on Cobra Kai is sick👌
68,2020-12-25 20:59:26+00:00,elonmusk,@AfloatHickory Haha I will save you the nightmare of seeing me in those shorts
69,2020-12-25 20:58:02+00:00,elonmusk,@h3_extrachars You can upload custom music/sounds
70,2020-12-25 20:57:25+00:00,elonmusk,"@jgrano305 Unfortunately, pedestrian speaker is needed, otherwise no external sound generator except actual horn"
71,2020-12-25 20:54:29+00:00,elonmusk,"Change your horn sound to 🐐, 🐍🎷, 💨 or holiday jingles with latest Tesla software update!"
72,2020-12-25 16:47:04+00:00,elonmusk,Merry Christmas &amp; happy holidays! 🎁 https://t.co/uk6NSPwR9R
73,2020-12-25 04:07:28+00:00,elonmusk,@Tesmanian_com Great game!
74,2020-12-25 01:07:24+00:00,elonmusk,@harsimranbansal @heydave7 It will most likely make sense for Starlink to go public once the revenue growth is reasonably predictable
75,2020-12-25 00:35:46+00:00,elonmusk,"@heydave7 Engineering, design &amp; general company operations absorb vast majority of my mind &amp; are the fundamental limitation on doing more. 

Capital allocation is important, but low CPU load. Tesla public company duties are a much bigger factor, but going private is impossible now (sigh)."
76,2020-12-24 18:15:39+00:00,elonmusk,@ElonsWorld @Real_Futurist @lexfridman Yes
77,2020-12-24 10:59:36+00:00,elonmusk,@flcnhvy @MarcusHouseGame A few months
78,2020-12-24 10:49:49+00:00,elonmusk,@MarcusHouseGame Coming soon
79,2020-12-24 01:20:05+00:00,elonmusk,@OLHZN Minor
80,2020-12-24 01:14:17+00:00,elonmusk,@TrevorMahlmann Yeah
81,2020-12-24 01:12:41+00:00,elonmusk,12 story rocket turns off its engines &amp; does a controlled fall https://t.co/HCRgyx42rn
82,2020-12-24 00:31:14+00:00,elonmusk,"@Erdayastronaut Yup, we’re just ironing out a few bugs"
83,2020-12-24 00:00:41+00:00,elonmusk,"To Tesla owners taking delivery in the final days of year, your support is super appreciated!!"
84,2020-12-23 20:36:05+00:00,elonmusk,@DeepMind @nature Frictionless AI. What could possibly go wrong?
85,2020-12-23 17:41:36+00:00,elonmusk,@heydave7 Good idea
86,2020-12-22 20:46:12+00:00,elonmusk,"@wintonARK During the darkest days of the Model 3 program, I reached out to Tim Cook to discuss the possibility of Apple acquiring Tesla (for 1/10 of our current value). He refused to take the meeting."
87,2020-12-22 20:43:18+00:00,elonmusk,"@wintonARK Strange, if true. 

- Tesla already uses iron-phosphate for medium range cars made in our Shanghai factory.

- A monocell is electrochemically impossible, as max voltage is ~100X too low. Maybe they meant cells bonded together, like our structural battery pack?"
88,2020-12-22 19:43:10+00:00,elonmusk,@archillect Sparta’s reply to Macedon
89,2020-12-21 19:00:31+00:00,elonmusk,@LizClaman @Tesla @FoxBusiness @ClamanCountdown Hi Liz!
90,2020-12-21 13:04:16+00:00,elonmusk,Thanks to everyone who worked so hard to make Tesla successful. My heart goes out to you.
91,2020-12-21 13:02:48+00:00,elonmusk,@teslaownerssv Indeed
92,2020-12-21 11:21:24+00:00,elonmusk,"@Kristennetten It was a seriously twisted affair, but all’s that ends well."
93,2020-12-21 11:13:27+00:00,elonmusk,"@MKBHD They are, although it’s kind low-key. Tesla Superchargers are being made accessible to other electric cars."
94,2020-12-20 15:20:03+00:00,elonmusk,@michael_saylor Are such large transactions even possible?
95,2020-12-20 10:16:43+00:00,elonmusk,♥️ i love all u crazy ppl out there ♥️
96,2020-12-20 10:04:35+00:00,elonmusk,@BizzzzzyD You have a point (sigh)
97,2020-12-20 09:53:56+00:00,elonmusk,@pcgamer Great game
98,2020-12-20 09:51:15+00:00,elonmusk,"@flcnhvy Pretty much. The main value of college used to be hanging out, having pseudo intellectual conversations &amp; partying with people your own age. Now, even that’s gone."
99,2020-12-20 09:44:03+00:00,elonmusk,"Come for the comments, 
stay for the memes💄"
100,2020-12-20 09:37:27+00:00,elonmusk,@padgeuk Absolutely. We will release FSD subscription early next year.
101,2020-12-20 09:30:04+00:00,elonmusk,One word: Doge
102,2020-12-20 09:24:37+00:00,elonmusk,Bitcoin is almost as bs as fiat money
103,2020-12-20 09:21:01+00:00,elonmusk,@hajek_miloslav Great nails &amp; lipstick
104,2020-12-20 09:17:17+00:00,elonmusk,@MightyTesla @Kristennetten @lauren_kalo @SawyerMerritt @jasondebolt @CodingMark @28delayslater @BabyTesla3 @4thRowPopcorn @IloveElonandTe1 Nice
105,2020-12-20 08:54:26+00:00,elonmusk,https://t.co/EbOjGshvrq
106,2020-12-20 08:46:43+00:00,elonmusk,@CallowayTech Sounds about right
107,2020-12-20 08:43:06+00:00,elonmusk,“Lord” Edge
108,2020-12-20 08:42:00+00:00,elonmusk,@xDreamCoding @frank_thelen Nice branding
109,2020-12-20 08:40:34+00:00,elonmusk,"Just kidding, who needs a safe word anyway!?"
110,2020-12-20 08:21:25+00:00,elonmusk,Bitcoin is my safe word
111,2020-12-17 16:21:49+00:00,elonmusk,@SpaceX Standing down for today to inspect rocket. Hopefully launching tomorrow.
112,2020-12-17 15:17:14+00:00,elonmusk,@SpaceX Pressure is slightly high in upper stage liquid oxygen tank. Review underway.
113,2020-12-17 15:03:47+00:00,elonmusk,@Tesla__Mania I am hoping to be back next month!
114,2020-12-17 14:43:03+00:00,elonmusk,@nytimes Very impressive mission by China!
115,2020-12-17 13:47:14+00:00,elonmusk,@SpaceX Last launch of 2020 coming up
116,2020-12-17 07:10:05+00:00,elonmusk,"@teslaownerssv @astonmartin @Tesla He was indeed quite grumpy, but we did not actually know what we were doing, so he had a point"
117,2020-12-17 06:53:33+00:00,elonmusk,"@teslaownerssv It will get absurdly good. Tesla AI/Autopilot engineering is awesome! There’s some great AI out there, but can it self-drive while playing Cyberpunk … ?"
118,2020-12-17 06:32:13+00:00,elonmusk,"Star Light, Star Bright https://t.co/6CeTAZSXCO"
119,2020-12-17 04:43:52+00:00,elonmusk,@Teslarati @13ericralph31 This is incorrect
120,2020-12-17 04:08:02+00:00,elonmusk,@TheBabylonBee 🤣🤣
121,2020-12-16 19:05:56+00:00,elonmusk,@pcgamer But it is visually stunning &amp; playability is good
122,2020-12-16 18:09:21+00:00,elonmusk,"@pcgamer A t-shirt being better armor than a Kevlar chest plate doesn’t make sense in the absence of magic. Also, wish there weren’t level-based item limits in a single-player game."
123,2020-12-16 17:05:37+00:00,elonmusk,@cleantechnica Oh and umm … https://t.co/jtg944ERCy
124,2020-12-16 16:59:48+00:00,elonmusk,"@cleantechnica I absolutely support trans, but all these pronouns are an esthetic nightmare"
125,2020-12-16 16:36:51+00:00,elonmusk,"@Erdayastronaut @flightclubio The Raptors were well below max thrust or the ship would have blown through the altitude limit. As we hit min throttle point, an engine would shut off."
126,2020-12-16 16:29:29+00:00,elonmusk,"@Erdayastronaut @flightclubio Far from fully loaded, but we were going slow or the ship would have gone crazy high/far with three engines"
127,2020-12-16 00:16:15+00:00,elonmusk,"@picot_john @CyberpunkGame It’s a good to great game imo, but improving what may seem like mere surface detail would make it unequivocally great"
128,2020-12-16 00:13:00+00:00,elonmusk,"@truth_tesla @Tesmanian_com Perhaps slightly more confident, but it’s essential to view this as output vs time. As with all manufacturing, especially new technology, output will follow an S-curve. Very slow at first, but increasing exponentially, then linear, then logarithmic."
129,2020-12-15 23:11:17+00:00,elonmusk,@Tesmanian_com Dankeschön Brandenburg und Grünheide!
130,2020-12-15 17:31:08+00:00,elonmusk,@austinbarnard45 @lrocket Sure hope that future doesn’t come to pass!
131,2020-12-15 17:16:56+00:00,elonmusk,"@Tesmanian_com Giga Berlin-Brandenburg will be the first to use our new structural pack architecture, 4680 (world’s most advanced cells, made on-site), both front &amp; rear body castings &amp; advanced paint shop. Warning: with so much new technology, production timing is naturally harder to predict."
132,2020-12-15 14:53:06+00:00,elonmusk,"@Dota2funny1 @CyberpunkGame Original Deus Ex was incredible, Human Revolution was also great"
133,2020-12-15 14:43:07+00:00,elonmusk,@CyberpunkGame The objective reality is that it is impossible to run an advanced game well on old hardware. This is a much more serious issue: https://t.co/OMNCTa9hJY
134,2020-12-14 19:48:22+00:00,elonmusk,@TheOnion .@TheBabylonBee
135,2020-12-14 16:15:57+00:00,elonmusk,Ascent to the Heavens https://t.co/oGgsw88YRZ
136,2020-12-14 16:02:30+00:00,elonmusk,@engineers_feed 🤣
137,2020-12-14 15:57:08+00:00,elonmusk,"@PPathole @CyberpunkGame Yeah, briefly. Seems pretty good. I picked Nomad, so start was a little slow, but picks up fast. Seemed like almost everyone on Steam was playing Cyberpunk at some point this weekend!"
138,2020-12-14 15:25:57+00:00,elonmusk,@Zwiebelbach @its_menieb @CyberpunkGame https://t.co/aaYYPCPP1i
139,2020-12-14 15:12:18+00:00,elonmusk,Hehe https://t.co/SkLMiL3OxT
140,2020-12-14 13:57:47+00:00,elonmusk,@CyberpunkGame https://t.co/RHKsB40xqr
141,2020-12-14 13:56:52+00:00,elonmusk,@CyberpunkGame https://t.co/kmG7C9qF6h
142,2020-12-14 06:51:16+00:00,elonmusk,https://t.co/sdmXKbHdzd
143,2020-12-14 06:11:07+00:00,elonmusk,https://t.co/qbNT1dUsED
144,2020-12-13 15:39:41+00:00,elonmusk,@QuantaMagazine init void
145,2020-12-12 18:47:57+00:00,elonmusk,@PPathole @ErcXspace @SpaceX *cooling haha
146,2020-12-12 17:04:08+00:00,elonmusk,"@PPathole @ErcXspace @SpaceX I still have a soft spot in my heart for transpiration cooking. In theory, it would use more mass than a tile heatshield, but that remains to be seen."
147,2020-12-12 00:47:09+00:00,elonmusk,"@ErcXspace @SpaceX Ship leeward side will be bare metal, windward will have black, hexagonal heat shield tiles"
148,2020-12-11 14:00:48+00:00,elonmusk,@conexionspacial @Pockn_CG Yes
149,2020-12-11 00:40:28+00:00,elonmusk,"@SpacePadreIsle @SpaceX Agreed, should be preserved in memory of SN8"
150,2020-12-10 00:45:23+00:00,elonmusk,@NASASpaceflight @BocaChicaGal Exactly! Woohoo!!
151,2020-12-10 00:18:59+00:00,elonmusk,"@Erdayastronaut @SpaceX SN8 did great! Even reaching apogee would’ve been great, so controlling all way to putting the crater in the right spot was epic!!"
152,2020-12-10 00:10:39+00:00,elonmusk,"Thank you, South Texas for your support! This is the gateway to Mars."
153,2020-12-10 00:08:40+00:00,elonmusk,"Life, the Universe and Everything https://t.co/1ZCzInfc4u"
154,2020-12-09 23:44:18+00:00,elonmusk,"@Erdayastronaut Yeah, engines did great!"
155,2020-12-09 23:08:53+00:00,elonmusk,"Mars, here we come!!"
156,2020-12-09 23:07:39+00:00,elonmusk,"Fuel header tank pressure was low during landing burn, causing touchdown velocity to be high &amp; RUD, but we got all the data we needed! Congrats SpaceX team hell yeah!!"
157,2020-12-09 23:02:34+00:00,elonmusk,"Successful ascent, switchover to header tanks &amp; precise flap control to landing point! https://t.co/IIraiESg5M"
158,2020-12-09 18:13:21+00:00,elonmusk,@TheBabylonBee 🤠
159,2020-12-08 18:05:28+00:00,elonmusk,@wonderofscience Near-orbital space is the fastest way to travel long distance on Earth!
160,2020-12-08 16:57:13+00:00,elonmusk,"@SpaceX @Space_Station It’s called the Space “Station”, but it’s actually moving around Earth at ~25 times the speed of sound or ~10 times faster than a rifle bullet"
161,2020-12-08 16:44:50+00:00,elonmusk,"“So long, and thanks for the orifice!”
- Alien message decrypted"
162,2020-12-08 02:51:45+00:00,elonmusk,@SpaceX Probably 1/3 chance of completing all mission objectives
163,2020-12-08 02:50:30+00:00,elonmusk,@SpaceX Hopefully flying tomorrow
164,2020-12-08 00:16:56+00:00,elonmusk,@NASASpaceflight Yup
165,2020-12-07 20:13:07+00:00,elonmusk,Out on the pad in South Texas https://t.co/RcYOXXpTc2
166,2020-12-07 18:13:53+00:00,elonmusk,"@Space_Station @SpaceX Wow, Station looks amazing!"
167,2020-12-07 17:57:28+00:00,elonmusk,"@NASASpaceflight Knock, knock, singing telegram!"
168,2020-12-07 15:11:21+00:00,elonmusk,@lexfridman Carrying even more symbiotic bacteria (~40 trillion) than cells
169,2020-12-07 15:08:22+00:00,elonmusk,@AdamKlotz_ @lexfridman Yes
170,2020-12-07 15:07:08+00:00,elonmusk,@lexfridman We are mobile cell colonies
171,2020-12-07 04:37:42+00:00,elonmusk,100
172,2020-12-06 21:30:33+00:00,elonmusk,"Im Gespräch mit Mathias Döpfner 

https://t.co/bqa5pIAOnk"
173,2020-12-06 10:35:51+00:00,elonmusk,@haya2e_jaxa @JAXA_en Congratulations!
174,2020-12-05 22:06:01+00:00,elonmusk,@haya2e_jaxa Congratulations!
175,2020-12-05 09:56:35+00:00,elonmusk,"@RDAnglePhoto @SpaceX @Teslarati Yes, it does."
176,2020-12-03 23:40:23+00:00,elonmusk,@RationalEtienne And no toilet paper 🤣🤣
177,2020-12-03 23:30:34+00:00,elonmusk,Watch Demolition Man
178,2020-12-03 23:19:57+00:00,elonmusk,Prometheus Unbound
179,2020-12-03 02:21:46+00:00,elonmusk,@ErcXspace @SpaceX @NASASpaceflight @Erdayastronaut @MarcusHouseGame @FelixSchlang Not bad
180,2020-12-02 17:33:24+00:00,elonmusk,@TheOnion It was a beast compared to the VIC-20
181,2020-12-02 13:29:19+00:00,elonmusk,"@Tesmanian_com Award accepted on behalf of the great people at Tesla, SpaceX, Neuralink &amp; Boring Co"
182,2020-12-02 03:19:28+00:00,elonmusk,"Much of what people think of an science is actually engineering, eg no such thing as a “rocket scientist”, only rocket engineers. Latter is who put humans on the moon."
183,2020-12-02 03:13:25+00:00,elonmusk,"Science is discovering the essential truths about what exists in the Universe, engineering is about creating things that never existed
https://t.co/aIEUtHoPxM"
184,2020-12-02 03:03:05+00:00,elonmusk,@justpaulinelol It does get a bit cold at night
185,2020-12-01 11:58:41+00:00,elonmusk,@engineers_feed Paint makes a hell of a difference
186,2020-11-30 23:18:18+00:00,elonmusk,@DeepMind Congrats!
187,2020-11-30 22:53:11+00:00,elonmusk,@lrocket Thanks for everything you did to help build SpaceX! Some of the best memories ever.
188,2020-11-30 18:26:28+00:00,elonmusk,@RGVaerialphotos It will be real soon
189,2020-11-29 22:57:08+00:00,elonmusk,"@MarcusHouseGame @bcart03 @nextspaceflight @NASASpaceflight Starship legs are one of the hardest problems. Externally mounted legs require shielding, which adds mass. Wider stance adds mass. Shock absorbers add mass. That said, we need better legs."
190,2020-11-29 19:01:30+00:00,elonmusk,"@bcart03 @nextspaceflight @NASASpaceflight Static fire is not risky from build site, but we need to clear the build site for early flights"
191,2020-11-29 18:58:27+00:00,elonmusk,@nextspaceflight @NASASpaceflight Just a static fire tomorrow. Flight no earlier than Wednesday.
192,2020-11-28 20:06:51+00:00,elonmusk,@ErcXspace @SpaceX It will have landing legs
193,2020-11-28 18:28:24+00:00,elonmusk,"@eugenelee3 @PPathole @karpathy Yes, very sad news. Tony was great."
194,2020-11-28 18:06:34+00:00,elonmusk,"@PPathole @karpathy For a second there, I thought that was a pic of Thanos haha"
195,2020-11-28 01:46:31+00:00,elonmusk,"@Poppa_BearQ @ID_AA_Carmack Yeah, truncate zeros &amp; then round"
196,2020-11-28 01:45:22+00:00,elonmusk,@dburkland @ID_AA_Carmack Probably going to a wider beta in ~2 weeks
197,2020-11-28 01:17:26+00:00,elonmusk,@ID_AA_Carmack fp16 with least important digits truncated (so it feels like fp32) is what we’re betting on for training with Dojo
198,2020-11-28 00:57:58+00:00,elonmusk,@ID_AA_Carmack Int8 for almost all heavy lifting in inference works great
199,2020-11-26 19:27:13+00:00,elonmusk,@thisisjendoll But actually! https://t.co/lb14pKsayI
200,2020-11-26 19:26:22+00:00,elonmusk,@thisisjendoll https://t.co/mMg5b8b40z
201,2020-11-26 15:12:00+00:00,elonmusk,Happy Thanksgiving!
202,2020-11-26 05:43:01+00:00,elonmusk,@teslaownerssv @JohnEG78 @TeslaChillMode @UNPLGD3 @MFrunker @ccteslaclub Hopefully next month
203,2020-11-26 05:40:57+00:00,elonmusk,"@JohnEG78 @TeslaChillMode @UNPLGD3 @MFrunker @ccteslaclub Ok. Overall air suspension height &amp; damping algorithm is getting a lot of attention. Will be linked to FSD, so acts automatically."
204,2020-11-26 05:38:31+00:00,elonmusk,@karpathy Haha true
205,2020-11-26 05:37:34+00:00,elonmusk,@HumanoidHistory The Promise is greatly needed
206,2020-11-25 23:45:24+00:00,elonmusk,"@EvaFoxU We will have special colors for new Roadster, as we did for the original"
207,2020-11-25 22:16:02+00:00,elonmusk,@RationalEtienne @TheBabylonBee 🤣🤣
208,2020-11-25 20:38:25+00:00,elonmusk,.@TheBabylonBee is savage 🤣🤣
209,2020-11-25 18:12:04+00:00,elonmusk,@WorldAndScience If you ever wondered where we came from
210,2020-11-25 02:12:17+00:00,elonmusk,"This is a life leader launch, so more risk than normal https://t.co/EtFP9IELrf"
211,2020-11-25 00:18:27+00:00,elonmusk,"@TesLatino @flcnhvy @thesheetztweetz Yes, but only slightly filled"
212,2020-11-25 00:16:50+00:00,elonmusk,@aholstein404 @flcnhvy @thesheetztweetz This is a subject of much debate
213,2020-11-25 00:15:56+00:00,elonmusk,@flcnhvy @thesheetztweetz Major upgrades are slated for SN15
214,2020-11-25 00:13:02+00:00,elonmusk,"@flcnhvy @thesheetztweetz Many small improvements, but overall similar. Wiring is more robust, engines are more mature, nosecone is sealed better, etc."
215,2020-11-25 00:08:00+00:00,elonmusk,@thesheetztweetz But that’s why we have SN 9 &amp; SN10
216,2020-11-25 00:07:24+00:00,elonmusk,"@thesheetztweetz Lot of things need to go right, so maybe 1/3 chance"
217,2020-11-24 23:59:27+00:00,elonmusk,"Good Starship SN8 static fire! Aiming for first 15km / ~50k ft altitude flight next week. Goals are to test 3 engine ascent, body flaps, transition from main to header tanks &amp; landing flip."
218,2020-11-24 19:23:27+00:00,elonmusk,@Erdayastronaut @MarcusHouseGame Maybe start on that a year from now. Depends on how Starship progress goes.
219,2020-11-24 19:22:45+00:00,elonmusk,@RationalEtienne @MarcusHouseGame Not yet
220,2020-11-24 18:54:33+00:00,elonmusk,"@StarshipFairing @MarcusHouseGame Not bad! We will definitely need more engines if we make the cargo bay all propellant, but it’s probably smarter than a whole new shorter external hull."
221,2020-11-24 18:49:12+00:00,elonmusk,"@MarcusHouseGame Rapid &amp; complete rocket reuse, low cost propellant, orbital refilling &amp; propellant production at destination are the four essential elements of making life multiplanetary"
222,2020-11-24 06:45:43+00:00,elonmusk,@Erdayastronaut @PPathole @Teslarati @TeslaRoadTrip Yes
223,2020-11-24 03:20:27+00:00,elonmusk,"@PPathole @Teslarati @TeslaRoadTrip We’re still far from simply video in, control out. The biggest game-changer, currently underway at Tesla, is 360 degree, high fps video for labeling, training &amp; inference."
224,2020-11-24 02:30:47+00:00,elonmusk,@Teslarati @TeslaRoadTrip FSD Beta 5 coming out in a few days. Improvement should be significant.
225,2020-11-23 22:45:12+00:00,elonmusk,@XHNews Exciting mission!
226,2020-11-23 21:12:28+00:00,elonmusk,@vincent13031925 @Tesla Wow
227,2020-11-23 06:56:32+00:00,elonmusk,@Liv_Boeree Yea
228,2020-11-22 03:42:11+00:00,elonmusk,"Tomorrow will be the 7th flight of this rocket, landing on droneship Of Course I Still Love You"
229,2020-11-21 21:27:06+00:00,elonmusk,@JohnnaCrider1 @teslaownerssv @28delayslater Sure
230,2020-11-21 21:22:09+00:00,elonmusk,@FutureJurvetson @flcnhvy True
231,2020-11-21 21:12:25+00:00,elonmusk,@RationalEtienne @heydave7 @philwhln We have quiet a queue of products to build! Better do new Roadster at some point😬.
232,2020-11-21 21:10:08+00:00,elonmusk,"@RationalEtienne @ShyCybertruck Fate loves irony, but hates hypocrisy"
233,2020-11-21 17:49:30+00:00,elonmusk,@ICannot_Enough @heydave7 Yes 😃
234,2020-11-21 17:48:38+00:00,elonmusk,@flcnhvy Our data center was named Skynet as a joke over 10 years ago. Might have been tempting fate!
